ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2022_GMC_26128_67,tender,tender,1,29-09-2022,2022_GMC_26128_67,GER/CE/2016/2022/4 DATED-15/06/2022,Construction of Pub Shiv Nagar Borbari (Pijush Das House to Joyshree Pegu House),Works,Open Tender,Lump-sum,Civil Works – Roads,NA,No,No,,07-02-2022 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,07-07-2022 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2022_SCD_24493_1,tender,tender,1,29-09-2022,2022_SCD_24493_1,Tender/NIT/2021-22/5070 Date-25.02.2022,Jiadhal River Bank Protection Work at village Sontopur under RIDF -XXVII,Works,Open Tender,Works,Civil Works,NA,No,No,"89,75,000",26-02-2022 10:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,AOC,8,assessment,Price Bid Opening Date,NA,17-03-2022 15:00,NA,Soil Conservation Department,2021-2022
ocds-kjhdrl-2021_PWD_20907_3,tender,tender,1,29-09-2022,2021_PWD_20907_3,SE/JRC/SOPD(ODS)/4410(4),Improvement of Internal Roads of Akhoidisa Tea Estate (From Ch. 0.00M to Ch. 1434.00M) under SOPD(ODS) for the year 2020-21 under PWD Teok and Mariani Territorial Road Division. Pkg.No. SOPD(ODS)/TMTRD/TEOK/03,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,"99,99,422",02-04-2021 10:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,11-02-2021 13:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_SCD_22955_4,tender,tender,1,29-09-2022,2021_SCD_22955_4,TENDER/NIT/2021-22/288-90 Dated.13.09.2021,HAZARKIA INTEGRATED SOIL AND WATER CONSERVATION PROJECT UNDER RIDF- XXVI,Works,Open Tender,Works,Civil Works,NA,No,No,"1,13,44,670",15-09-2021 17:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,AOC,5,assessment,Price Bid Opening Date,NA,28-09-2021 15:00,NA,Soil Conservation Department,2021-2022
ocds-kjhdrl-2021_APDCL_22877_1,tender,tender,1,29-09-2022,2021_APDCL_22877_1,APDCL/DDU-New/21/01/SNP2,Rural Electrification (VEI) Works under Pkg. SNP/DDUGJY-NEW/PKG-2,Works,Open Tender,Turn-key,Electrical Works,NA,No,No,"9,88,22,186",09-11-2021 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,Technical Evaluation,NA,assessment,Price Bid Opening Date,NA,26-10-2021 11:00,NA,Assam Power Distribution Company Ltd,2021-2022
ocds-kjhdrl-2022_PWRDW_25370_7,tender,tender,1,29-09-2022,2022_PWRDW_25370_7,CE/APART/21/2022/27,Warehouse complex at Gossaigaon in Kokrajhar District,Works,Open Tender,Lump-sum,Civil Works - Building,NA,No,No,"2,99,92,000",05-02-2022 18:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,Financial Evaluation,NA,assessment,Price Bid Opening Date,NA,04-06-2022 14:30,NA,Public Works Roads Department-Externally Aided Project,2021-2022
ocds-kjhdrl-2021_HB_21653_1,tender,tender,1,29-09-2022,2021_HB_21653_1,No.CJG.45/2021/1581 Dtd-10-05-2021,"Supply of Dietary Articles for Central Jail, Guwahati",Goods,Open Tender,Item Rate,Food Products,NA,No,No,,05-10-2021 13:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,300,No,Online,NA,Cancelled,NA,assessment,Price Bid Opening Date,NA,14-06-2021 15:00,NA,Home B,2021-2022
ocds-kjhdrl-2021_HB_23109_1,tender,tender,1,29-09-2022,2021_HB_23109_1,GLPJ.54/2021/1959 Date.03-10-2021,"Supply of Dietary/Non-dietary articles for the District Jails, Goalpara, Assam during the Financial Year 2021-22. Group E",Goods,Open Tender,Supply,Miscellaneous Goods,NA,No,No,,10-04-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Online,NA,AOC,1,assessment,Price Bid Opening Date,NA,06-10-2021 14:00,NA,Home B,2021-2022
ocds-kjhdrl-2021_PWD_22932_19,tender,tender,1,29-09-2022,2021_PWD_22932_19,CE/STBR/ RIDF-XXVII/03/21-22/4 Dtd. 03-09-2021,RIDF-XXVII/Golaghat/01 Improvement of (i) Baromukhiya Path (from Ch. 0.00Km to Ch. 9.85 Km) alongwith improvement of Barpathar link Road (from Ch. 0.00Km to Ch. 0.60 Km) (ii) Senchowa Ali (from Ch. 0.00Km to Ch. 20.00 Km and Ch.70.00 Km to Ch.110.00,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,"10,00,00,000",14-09-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,3,assessment,Price Bid Opening Date,NA,05-10-2021 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2022_DoWR_24949_1,tender,tender,1,29-09-2022,2022_DoWR_24949_1,GHY. EAST/2021-22/SOPD FDR II/II,Protection of Kajolichowki area from the Erosion of River Brahmaputra (Ph-I),Works,Open Tender,Works,Civil Works,NA,No,No,"2,48,21,798",04-02-2022 10:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,AOC,5,assessment,Price Bid Opening Date,NA,22-04-2022 15:00,NA,Department of Water Resources,2021-2022
